Adamov,49.30389444444444,16.645291666666665
Adrspach (Dolni Adrspach),50.618916666666664,16.110861111111113
Lovecky zamecek Aleje,49.264561111111114,15.629575
Lovecky zamecek Allein,48.859405555555554,16.260091666666668
Annaburg,49.5345,12.912600000000001
Apollonuv chram,48.782919444444445,16.824519444444444
Bartosovice,49.671324999999996,18.050480555555556
Novy batelovsky zamek,49.316111111111105,15.394444444444444
Stary batelovsky zamek,49.315555555555555,15.395
Becov nad Teplou,50.0856,12.8398
Stary zamek Becvary,49.95638888888889,15.07861111111111
Bechyne,49.291488888888885,14.468111111111112
Bela pod Bezdezem,50.50138888888889,14.807777777777778
Belveder,48.75196666666667,16.761541666666666
Belvin,50.52257222222222,15.100158333333333
Benatky nad Jizerou,50.29089722222222,14.821558333333334
Benesov nad Ploucnici,50.74243888888889,14.31101388888889
Berchembogen,49.9125,12.6913
Berchtold,49.928888888888885,14.667499999999999
Bezno,50.36931388888889,14.790275
Bezdruzice,49.9084,12.9678
Bila,49.43919722222222,18.445752777777777
Bila Lhota,49.70959166666667,16.977055555555555
Bilence,50.42223055555555,13.503266666666667
Bile Policany,50.391244444444446,15.728847222222223
Bilina,50.54823888888889,13.776280555555557
Biskupice u Jevicka,49.64681111111111,16.756416666666667
Blansko,49.36388888888889,16.64611111111111
Blatna,49.423024999999996,13.879333333333333
Blatno,50.51096666666667,13.35981111111111
Blazkov,50.31225277777777,15.560527777777779
Hradiste,49.5771,13.544599999999999
Bludov,49.94058888888888,16.928752777777778
Bohutice,48.991508333333336,16.358305555555557
Bolatice,49.952311111111115,18.081411111111112
Bolehostska Lhota,50.207883333333335,16.087030555555554
Bon Repos,50.24193888888889,14.792961111111111
Borotin,49.58106666666667,16.670386111111114
Borovany,48.8985,14.64193888888889
Boskovice,49.484861111111115,16.659305555555555
Bozejov,49.36154166666667,15.158747222222223
Brandys nad Labem,50.1872,14.6661
Brandys nad Orlici,49.99976111111111,16.289158333333337
Branisovice,48.96050555555556,16.429258333333333
Kolstejn,50.15076111111111,17.01169722222222
Brantice,50.06222222222222,17.62472222222222
Bratronice,49.36581388888889,13.842966666666667
Bravantice,49.7575,18.08138888888889
Bredovsky letohradek,50.775505555555554,14.786775
Brnenske Ivanovice,49.15098611111111,16.65309444444444
Letohradek Mitrovskych,49.188427777777775,16.589002777777775
Lisen,49.205247222222226,16.697216666666666
Medlanky,49.24035555555556,16.57358888888889
Brodek u Prostejova,49.369508333333336,17.082205555555554
Brozany,50.45254722222222,14.143569444444443
Brtnice,49.30610833333333,15.674191666666665
Bruntal,49.99058888888889,17.464658333333333
Breclav,48.76,16.87611111111111
Brezina,49.497638888888886,15.088716666666667
Brezina,49.81333333333333,13.605
Breznice,49.5575,13.95611111111111
Bucovice,49.1493,17.0013
Budenice,50.31651944444444,14.102997222222221
Budisov,49.27534722222222,16.012841666666667
Budkov,49.05255555555555,15.661666666666667
Budyne nad Ohri,50.40472222222222,14.123888888888889
Buchlovice,49.08397222222222,17.337127777777777
Bukovany,49.57305,14.102688888888888
Bukovec,49.58652777777778,12.995833333333332
Busovice,49.7971,13.5327
Bustehrad,50.155138888888885,14.191527777777779
Bystre,49.629444444444445,16.35138888888889
Bystrice pod Hostynem,49.401022222222224,17.672919444444446
Cebiv,49.829175000000006,12.979402777777779
Cerekvice nad Bystrici,50.3344,15.723969444444444
Cerhonice,49.41891111111111,14.056811111111111
Cetechovice,49.174566666666664,17.260088888888887
Fara v Cetkovicich,49.578719444444445,16.72122222222222
Citoliby,50.33078888888889,13.811602777777779
Ctenice,50.149391666666666,14.564247222222223
Cvrcovice,48.99091111111111,16.51466111111111
Castolovice,50.13063888888889,16.187
Cechy pod Kosirem,49.5496,17.0374
Zamek a tvrz v Cejkovicich,48.903330555555556,16.948150000000002
Cekanice,49.375905555555555,13.884058333333332
Cerna,49.42319166666667,15.861977777777778
Cerna Hora,49.4161,16.5783
Lovecky zamecek Cernice,49.29071111111111,14.559372222222223
Cernovice,49.368722222222225,14.963888888888889
Cervena Lhota,49.24651388888889,14.8852
Cervena Recice,49.51023611111111,15.178016666666666
Cervene Janovice,49.83513888888889,15.253694444444445
Cervene Porici,49.50106111111111,13.295219444444445
Letohradek Cerveny dum,50.684286111111106,14.54016388888889
Cerveny Dvur,48.84578055555556,14.230783333333333
Cerveny hradek,50.51225,13.443888888888889
Cerveny Hradek,49.657777777777774,14.450555555555555
Hrad a zamek Cesky Krumlov,48.812777777777775,14.315277777777778
Cesky Rudolec,49.06691666666667,15.32686111111111
Cestice,49.16666111111111,13.803577777777779
Cimelice,49.467483333333334,14.065058333333335
Cizkov,49.44028333333333,15.118511111111111
Novy dacicky zamek,49.079525000000004,15.431491666666666
Stary dacicky zamek,49.08071666666667,15.43765
Dalecin,49.59193055555556,16.243983333333333
Dalesice,49.127425,16.078875
Destne,49.894999999999996,17.67388888888889
Decin,50.77901388888889,14.20918611111111
Detenice,50.36785555555556,15.170230555555555
Dianin Dvur,49.487769444444446,12.64973611111111
Dianin chram,48.75032222222222,16.792761111111112
Dirna,49.24115,14.844405555555555
Divaky,48.990411111111115,16.7866
Dobrohor,48.99747777777778,15.2536
Dobris,49.78138888888889,14.178888888888888
Doksy,50.56495833333333,14.652672222222222
Dolni Kounice,49.06736111111111,16.47222222222222
Dolni Krupa,49.661163888888886,15.60376111111111
Dolni Lukavice,49.6008,13.345600000000001
Dolni Prim,50.23930555555555,15.705555555555556
Dolni Rozinka,49.47555555555556,16.208838888888888
Dolni Valtinov,50.741816666666665,14.735777777777777
